abblättern	ˈʔ a p ˌb l ɛ t ɐ n
abbleiben	ˈa p ˌb l a ɪ̯ b n̩
Abblendlicht	ˈa p b l ɛ n t l ɪ ç t
abblitzen	ˈa p ˌb l ɪ t͡s ə n
Abblitzen	ˈa p ˌb l ɪ t͡s ə n
Abblitzer	ˈa p ˌb l ɪ t͡s ɐ
abblocken	ˈa ˌb l ɔ k ə n
Abbrecher	ˈa p ˌb ʁ ɛ ç ɐ
abbremsen	ˈa ˌb ʁ ɛ m z ə n
abbrennen	ˈa b ʁ ɛ n ə n
Abbrennen	ˈa p ˌb ʁ ɛ n ə n
Abbreviation	a b ʁ e v i̯ a ˈt͡s i̯ oː n
Abbreviatur	a b ʁ e v i̯ a ˈt uː ɐ̯
Abbruch	ˈa p b ʁ ʊ χ
Abbruch	ˈa p ʁ ʊ χ
Abbruchbirne	ˈa p b ʁ ʊ x ˌb ɪ ʁ n ə
Abbruchkante	ˈa p b ʁ ʊ x ˌk a n t ə
abbuchen	ˈa b uː χ ə n
Abchasisch	a p ˈχ aː z ɪ ʃ
abchasisch	a p ˈχ aː z ɪ ʃ
abchecken	ˈa p ˌt͡ʃ ɛ k n̩
abdampfen	ˈa p ˌd a m p͡f n̩
abdämpfen	ˈa p ˌd ɛ m p f ə n
abdämpfen	ˈa p ˌd ɛ m f ə n
abdanken	ˈʔ a p d a ŋ k ŋ̩
abdanken	ˈʔ a p d a ŋ k ə n
Abdankung	ˈa p ˌd a ŋ k ʊ ŋ
Abdankungsgrund	ˈa p d a ŋ k ʊ ŋ s ˌɡ ʁ ʊ n t
Abdankungsgründe	ˈa p d a ŋ k ʊ ŋ s ˌɡ ʁ ʏ n d ə
Abdankungsgrundes	ˈa p d a ŋ k ʊ ŋ s ˌɡ ʁ ʊ n d ə s
abdecken	ˈa p ˌd ɛ k ə n
Abdeckung	ˈa p ˌd ɛ k ʊ ŋ
abdestillieren	ˈa p d ɛ s t i ˌl iː ʁ ə n
abdirigieren	ˈa p d i ʁ i ˌɡ iː ʁ ə n
abdominal	a p d o m i ˈn aː l
abdringen	ˈa p ˈd ʁ ɪ ŋ ə n
Abdruck	ˈa p d ʁ ʊ k
Abduktor	a p ˈd ʊ k t oː ɐ̯
abeisen	ˈa b̥ a ɛ̯ s n̩
Abend	ˈaː b ə n t
Abend	aː m t
Abendbrot	ˈaː b ə n t ˌb r oː t
Abendbrot	ˈaː m b r oː t
abendessen	ˈaː b ə n t ˌɛ s ə n
Abendessen	ˈʔ aː b ə n t ˌʔ ɛ s ə n
Abendessen	ˈaː m ˌt ɛ s ə n
Abendkasse	ˈaː b ə n t ˌk a s ə
Abendkleider	ˈaː b ə n t ˌk l a ɪ̯ d ɐ
abendlich	ˈaː b n̩ t l ɪ ç
Abendlied	ˈaː b ə n t ˌl iː t
Abendluft	ˈaː b ə n t ˌl ʊ f t
abends	ˈaː b ə n t s
abendwärts	ˈaː b n̩ t ˌv ɛ ʁ t͡s
Abenteuer	ˈaː b ə n t ɔ ʏ̯ ɐ
abenteuerdurstig	ˈaː b n̩ t ɔ ɪ̯ ɐ ˌd ʊ ʁ s t ɪ ç
abenteuerhungrig	ˈaː b n̩ t ɔ ɪ̯ ɐ ˌh ʊ ŋ ʁ ɪ ç
abenteuerlich	ˈʔ aː b m̩ t ɔ ɪ̯ ɐ l ɪ ç
abenteuerlich	ˈʔ aː b ə n t ɔ ɪ̯ ɐ l ɪ ç
abenteuerlustig	ˈʔ aː b m̩ t ɔ ɪ̯ ɐ ˌl ʊ s t ɪ ç
abenteuerlustig	ˈʔ aː b ə n t ɔ ɪ̯ ɐ ˌl ʊ s t ɪ ç
Abenteuerreise	ˈaː b n̩ t ɔ ɪ̯ ɐ ˌʁ a ɪ̯ z ə
Abenteuerroman	ˈaː b n̩ t ɔ ɪ̯ ɐ ʁ o ˌm aː n
Abenteuerromane	ˈaː b n̩ t ɔ ɪ̯ ɐ ʁ o ˌm aː n
Abenteuerromanes	ˈaː b n̩ t ɔ ɪ̯ ɐ ʁ o ˌm aː n ɛ s
Abenteuerromans	ˈaː b n̩ t ɔ ɪ̯ ɐ ʁ o ˌm aː n s
Abenteuerspielplatz	ˈaː b n̩ t ɔ ɪ̯ ɐ ˌʃ p iː l p l a t͡s
abenteuersüchtig	ˈaː b n̩ t ɔ ɪ̯ ɐ ˌz ʏ ç t ɪ ç
aber	ˈaː b ɐ
aber	ˈa b ɐ
Aber	ˈaː b ɐ
Aberglaube	ˈaː b ɐ ˌɡ l a ʊ̯ b ə
Aberglaubens	ˈʔ aː b ɐ ˌɡ l a ʊ̯ b m̩ s
Aberglaubens	ˈʔ aː b ɐ ˌɡ l a ʊ̯ b ə n s
abergläubisch	ˈʔ aː b ɐ ɡ l ɔ ɪ̯ b ɪ ʃ
aberhundert	ˈaː b ɐ ˌh ʊ n d ɐ t
abertausend	ˈaː b ɐ ˌt a ʊ̯ z n̩ t
Aberwitz	ˈaː b ɐ ˌv ɪ t͡s
aberwitzig	ˈaː b ɐ ˌv ɪ t s ɪ ç
aberwitzig	ˈaː b ɐ ˌv ɪ t s ɪ k
abfackeln	ˈa p ˌf a k ə l n
Abfahrt	ˈa p ˌf aː r t
Abfallbehälter	ˈa p f a l b ə ˌh ɛ l t ɐ
Abfallbehälters	ˈa p f a l b ə ˌh ɛ l t ɐ s
Abfalleimer	ˈa p f a l ˌʔ a ɪ̯ m ɐ
abfallen	ˈʔ a p f a l n̩
abfallen	ˈʔ a p f a l ə n
abfällig	ˈa p ˌf ɛ l ɪ ç
abfällig	ˈa p ˌf ɛ l ɪ k
Abfallkorb	ˈa p f a l ˌk ɔ ʁ p
Abfalltonne	ˈa p f a l ˌt ɔ n ə
abfangen	ˈʔ a p f a ŋ ə n
abfassen	ˈa p ˌf a s n̩
Abfassung	ˈa p ˌf a s ʊ ŋ
abfedern	ˈa p ˌf eː d ə ʁ n
abfertigen	ˈa p ˌf ɛ ʁ t i ɡ ə n
Abfertigung	ˈa p ˌf ɛ ʁ t i ɡ ʊ ŋ
abfeuern	ˈʔ a p f ɔ ɪ̯ ɐ n
Abfeuerung	ˈa p ˌf ɔ ʏ̯ ə ʁ ʊ ŋ
abfiltern	ˈa p ˌf ɪ l t ɐ n
abfinden	ˈa p ˌf ɪ n d ə n
Abfindung	ˈa p ˌf ɪ n d ʊ ŋ
abflachen	ˈa p ˌf l a χ ə n
abflaken	ˈa p ˌf l a k ə n
abflauen	ˈa p ˌf l a ʊ̯ ə n
abfliegen	ˈʔ a p ˌf l iː ɡ ŋ̩
abfliegen	ˈʔ a p ˌf l iː ɡ ə n
Abflug	ˈʔ a p f l uː k
Abflüge	ˈʔ a p ˌf l yː ɡ ə
Abfluges	ˈʔ a p ˌf l uː ɡ ə s
Abflugs	ˈʔ a p f l uː k s
Abflugzeit	ˈa p f l uː k ˌt s a ɪ̯ t
Abfluss	ˈa p ˌf l ʊ s
Abflussrohr	ˈa p f l ʊ s ˌʁ oː ɐ̯
Abfolge	ˈa p ˌf ɔ l ɡ ə
Abfrage	ˈʔ a p ˌf ʁ aː ɡ ə
Abfragen	ˈʔ a p ˌf ʁ aː ɡ ŋ̩
Abfragen	ˈʔ a p ˌf ʁ aː ɡ ə n
abfragen	ˈɑ b f ʁ aː ɡ ə n
abfräsen	ˈa p ˌf ʁ ɛː z ə n
Abfräsen	ˈa p ˌf ʁ ɛː z ə n
abfrühstücken	ˈa p ˌf ʁ yː ʃ t ʏ k n̩
Abfuhr	ˈa p ˌf uː ɐ̯
Abführmittel	ˈa p f yː ɐ̯ m ɪ t l̩
Abgabe	ˈa p ˌɡ aː b ə
Abgabeleistung	ˈʔ a p ɡ aː b ə ˌl a ɪ̯ s t ʊ ŋ
Abgang	ˈa p ˌɡ a ŋ
Abgänger	ˈa p ˌɡ ɛ ŋ ɐ
Abganges	ˈʔ a p ˌɡ a ŋ ə s
abgängig	ˈa p ˌɡ ɛ ŋ ɪ ç
abgängig	ˈa p ˌɡ ɛ ŋ ɪ k
Abgangs	ˈʔ a p ɡ a ŋ s
Abgassonderuntersuchung	ˈa p ɡ aː s ˌz ɔ n d ɐ ʊ n t ɐ z uː x ʊ ŋ
Abgasstrom	ˈa p ɡ aː s ʃ t r oː m
abgeändert	ˈa p ɡ ə ˌ. ɛ n d ɐ t
abgebrüht	ˈa p . ɡ ə ˌb ʁ yː t
abgefahren	ˈʔ a p ɡ ə f aː ɐ̯ n
abgefahren	ˈʔ a p ɡ ə f aː ʁ ə n
abgefeimt	ˈa p ɡ ə ˌf a ɪ̯ m t
abgefüllt	ˈʔ a p ɡ ə f ʏ l t
abgehen	ˈʔ a p ɡ eː ə n
abgelegen	ˈʔ a p ɡ ə l eː ɡ ŋ̩
abgelegen	ˈʔ a p ɡ ə l eː ɡ ə n
abgelöst	ˈʔ a p ɡ ə l œ s t
abgeneigt	ˌa p ɡ ə ˈn a ɪ̯ k t
Abgeordnetenhaus	ˈa p ɡ ə ʔ ɔ ʁ d n ə t n̩ ˌh a ʊ̯ s
abgerockt	ˈa p ɡ ə ˌʁ ɔ k t
Abgesandte	ˈa p ɡ ə ˌz a n t ə
Abgesandter	ˈa p ɡ ə ˌz a n t ɐ
abgeschieden	ˈʔ a p ɡ ə ʃ iː d n̩
abgeschieden	ˈʔ a p ɡ ə ʃ iː d ə n
Abgeschiedenheit	ˈʔ a p ɡ ə ʃ iː d n̩ h a ɪ̯ t
Abgeschiedenheit	ˈʔ a p ɡ ə ʃ iː d ə n h a ɪ̯ t
abgeschlossen	ˈʔ a p ɡ ə ʃ l ɔ s n̩
abgeschlossen	ˈʔ a p ɡ ə ʃ l ɔ s ə n
abgeschmackt	ˈa p ɡ ə ʃ m a k t
abgeschrägte	ˈa p ɡ ə ʃ ʁ ɛː k t ə
abgeschrägten	ˈa p ɡ ə ʃ ʁ ɛː k t ə n
abgespannt	ˈʔ a p ɡ ə ʃ p a n t
abgesperrt	ˈʔ a p ɡ ə ʃ p ɛ ɐ̯ t
abgewaschen	ˈa p ɡ ə ˌv a ʃ n̩
abgezockt	ˈa p ɡ ə ˌt͡s ɔ k t
Abglanz	ˈa p ˌɡ l a n t͡s
Abgott	ˈa b ˌɡ ɔ t
Abgötterei	a p ɡ œ t ə ˈʁ a ɪ̯
abgöttisch	ˈʔ a p ɡ œ t ɪ ʃ
abgrenzen	ˈa p ˌɡ ʁ ɛ n t s ə n
Abgrenzung	ˈa p ˌɡ ʁ ɛ n t s ʊ ŋ
Abgrund	ˈa p ˌɡ ʁ ʊ n t
abgründig	ˈʔ a p ɡ ʁ ʏ n d ɪ ç
abgründig	ˈʔ a p ɡ ʁ ʏ n d ɪ k
abgrundtief	ˈa p ɡ ʁ ʊ n t ˌt iː f
abgünstig	ˈa p ˌɡ ʏ n s t ɪ ç
Abguss	ˈa p ɡ ʊ s
Abguß	ˈa p ɡ ʊ s
abhaken	ˈʔ a p h aː k ə n
abhaken	ˈʔ a p h aː k n̩
abhanden	a p ˈh a n d n̩
abhandenkommen	a p ˈh a n d n̩ ˌk ɔ m ə n
Abhandlung	ˈa p ˌh a n d l ʊ ŋ
Abhandlungen	ˈa p ˌh a n d l ʊ ŋ ə n
abhängen	ˈʔ a p h ɛ ŋ ə n
abhängig	ˈa p h ɛ ŋ ɪ ç
abhängig	ˈa p h ɛ ŋ ɪ k
Abhängigkeit	ˈa p h ɛ ŋ ɪ ç ˌk a ɪ̯ t
abheben	ˈʔ a p ˌh eː b m̩
abheben	ˈʔ a p ˌh eː b ə n
abhelfen	ˈa p ˌh ɛ l f n̩
abhocken	ˈa p ˌh ɔ k ə n
abhold	ˈa p h ɔ l t
abhold	a p ˈh ɔ l t
abholen	ˈʔ a p h oː l n̩
abholen	ˈʔ a p h oː l ə n
Abholung	ˈa p ˌh oː l ʊ ŋ
abholzen	ˈa p ˌh ɔ l t s ə n
Abholzung	ˈa p ˌh ɔ l t s ʊ ŋ
abhören	ˈa p ˌh øː ʁ ə n
Abi	ˈa b i
äbich	ˈɛː b i ç
abirren	ˈa p ˌɪ ʁ ə n
Abisolierzange	ˈa p ʔ i z o l iː ɐ̯ ˌt͡s a ŋ ə
abkacken	ˈʔ a p ˌk a k ŋ̩
abkacken	ˈʔ a p ˌk a k ə n
abkämmen	ˈa p ˌk ɛ m ə n
abkaufen	ˈa p k a ʊ̯ f ə n
abkehlen	ˈa p ˌk eː l ə n
abkehren	ˈa p ˌk eː ʁ ə n
abklären	ˈa p ˌk l ɛː ʁ ə n
abklären	ˈa p k l ɛː ɐ̯ n
Abklärung	ˈʔ a p k l ɛː ʁ ʊ ŋ
Abklärung	ˈʔ a p k l eː ʁ ʊ ŋ
abklingen	ˈa p ˌk l ɪ ŋ ə n
abknipsen	ˈa p ˌk n ɪ p s n̩
abkommandieren	ˈa p k ɔ m a n ˌd iː ʁ ə n
abkommen	ˈa p ˌk ɔ m ə n
Abkommen	ˈʔ a p ˌk ɔ m ə n
abkömmlich	ˈa p ˌk œ m l ɪ ç
Abkömmling	ˈa p k œ m l ɪ ŋ
abkönnen	ˈa p ˌk œ n ə n
abkühlen	ˈa p ˌk yː l ə n
Abkühlung	ˈʔ a p k yː l ʊ ŋ
Abkunft	ˈa p k ʊ n f t
abkupfern	ˈʔ a p ˌk ʊ p f ɐ n
Abkupfern	ˈa p ˌk ʊ p͡f ɐ n
Abkürzung	ˈa p ˌk ʏ ʁ t s ʊ ŋ
Abkürzungsverzeichnis	ˈa p k ʏ ʁ t͡s ʊ ŋ s f ɛ ɐ̯ ˌt͡s a ɪ̯ ç n ɪ s
abladen	ˈa p ˌl aː d ə n
Ablage	ˈa p ˌl aː ɡ ə
Ablass	ˈa p ˌl a s
Ablassbrief	ˈa p l a s ˌb ʁ iː f
ablassen	ˈʔ a p l a s n̩
ablassen	ˈʔ a p l a s ə n
Ablativ	ˈa p l a ˌt iː f
ablaufen	ˈʔ a p l a ʊ̯ f ɱ̩
ablaufen	ˈʔ a p l a ʊ̯ f ə n
Ablaut	ˈa p l a ʊ̯ t
ableben	ˈa p l eː b m̩
ableben	ˈa p l eː b ə n
ablecken	ˈa p ˌl ɛ k n̩
Ableger	ˈa p ˌl eː ɡ ɐ
ablehnen	ˈa p l eː n ə n
ableitbar	ˈa p ˌl a ɪ̯ t b aː ɐ̯
Ableitungsmorphem	ˈa p l a ɪ̯ t ʊ ŋ s m ɔ ʁ ˌf eː m
ablenken	ˈa p ˌl ɛ ŋ k ə n
Ablenkung	ˈa p ˌl ɛ ŋ k ʊ ŋ
Ablenkungsmanöver	ˈa p l ɛ ŋ k ʊ ŋ s m a ˌn øː v ɐ
Ablenkungstaktik	ˈa p l ɛ ŋ k ʊ ŋ s ˌt a k t ɪ k
Ablichtung	ˈa p l ɪ ç t ʊ ŋ
abliefern	ˈa p l iː f ɐ n
abliegen	ˈa p ˌl iː ɡ n̩
ablösen	ˈa p ˌl øː z ə n
Ablösung	ˈa p ˌl øː z ʊ ŋ
abluchsen	ˈa p ˌl ʊ k s ə n
Abluft	ˈa p ˌl ʊ f t
Abmachung	ˈa p ˌm a χ ʊ ŋ
abmagern	ˈʔ a p m aː ɡ ɐ n
abmähen	ˈa p ˌm ɛː ə n
abmatten	ˈa p ˌm a t n̩
abmeiern	ˈa p ˌm a ɪ̯ ə ʁ n
abmelden	ˈa p ˌm ɛ l d ə n
abmessen	ˈʔ a p m ɛ s n̩
abmessen	ˈʔ a p m ɛ s ə n
Abmessung	ˈa p m ɛ s ʊ ŋ
abmühen	ˈa p ˌm yː ə n
Abnahme	ˈa p ˌn aː m ə
abnehmen	ˈa p ˌn eː m ə n
Abnehmer	ˈa p n eː m ɐ
Abneigung	ˈʔ a p ˌn a ɪ̯ ɡ ʊ ŋ
Abneigungen	ˈʔ a p ˌn a ɪ̯ ɡ ʊ ŋ ə n
abnötigen	ˈa p ˌn øː t ɪ ɡ n̩
abnutzen	ˈʔ a p ˌn ʊ t s n̩
abnutzen	ˈʔ a p ˌn ʊ t s ə n
Abnutzung	ˈa p ˌn ʊ t s ʊ ŋ
Abo	ˈa b o
abonnieren	a b ɔ ˈn iː ʁ ə n
Abordnung	ˈa p ˌʔ ɔ ʁ t n ʊ ŋ
Abort	ˈa p ˌʔ ɔ ʁ t
Abort	a ˈb ɔ ʁ t
Abpfiff	ˈʔ a p p f ɪ f
Abpfiffe	ˈʔ a p p f ɪ f ə
Abpfiffes	ˈʔ a p p f ɪ f ə s
Abpfiffs	ˈʔ a p p f ɪ f s
abprallen	ˈa p ˌp ʁ a l ə n
abrackern	ˈa p ˌʁ a k ɐ n
Abraham	ˈaː b ʁ a ˌh aː m
Abraham	ˈaː b ʁ aː m
Abrasionsplatte	a p ʁ a ˈz i̯ oː n s ˌp l a t ə
abrasiv	a b ʁ a ˈz iː f
abreagieren	ˈa p ʁ e a ˌɡ iː ʁ ə n
abrechnen	ˈa p . ʁ ɛ ç . n ə n
Abrechnung	ˈa p ˌʁ ɛ ç n ʊ ŋ
Abrede	ˈʔ a p ʁ eː d ə
abregend	ˈa p ˌʁ eː ɡ n̩ t
abreiben	ˈʔ a p ʁ a ɪ̯ b m̩
abreiben	ˈʔ a p ʁ a ɪ̯ b ə n
Abreise	ˈʔ a p ˌʀ a ɪ̯ z ə
abreisen	ˈʔ a p ˌʁ a ɪ̯ z n̩
abreisen	ˈʔ a p ˌʁ a ɪ̯ z ə n
Abreisen	ˈʔ a p ˌʁ a ɪ̯ z n̩
Abreisen	ˈʔ a p ˌʁ a ɪ̯ z ə n
abreißen	ˈʔ a p ʁ a ɪ̯ s n̩
abreißen	ˈʔ a p ʁ a ɪ̯ s ə n
Abreißen	ˈʔ a p ʁ a ɪ̯ s n̩
Abreißen	ˈʔ a p ʁ a ɪ̯ s ə n
Abreißer	ˈa p ˌʁ a ɪ̯ s ɐ
Abreißers	ˈa p ˌʁ a ɪ̯ s ɐ s
abringen	ˈa p ˌʁ ɪ ŋ ə n
Abrissbirne	ˈa p ʁ ɪ s ˌb ɪ ʁ n ə
Abrissparty	ˈa p r ɪ s p aː ɐ̯ t i
abrufen	ˈa p ˌʁ uː f ə n
abrunden	ˈa p ˌr ʊ n d ə n
abrüsten	ˈa p ˌʁ ʏ s t n̩
Abrüstung	ˈa p ʁ ʏ s t ʊ ŋ
Abrüstungskonferenz	ˈa p ʁ ʏ s t ʊ ŋ s k ɔ n f e ˌʁ ɛ n t͡s
Absage	ˈa p ˌs aː ɡ ə
Absagen	ˈa p z aː ɡ n̩
absagen	ˈa p z aː ɡ n̩
absägen	ˈa p ˌz ɛː ɡ ə n
absägen	ˈa p ˌz eː ɡ ə n
Absägen	ˈa p ˌz ɛː ɡ n̩
Absägen	ˈa p ˌz eː ɡ n̩
absahnen	ˈa p ˌz aː n ə n
absatteln	ˈa p z a t ə l n
Absatz	ˈa p z a t͡s
Absatzmarkt	ˈa p z a t͡s ˌm a ʁ k t
Absatzzeichen	ˈa p ˌz a t s ˌt s a ɪ̯ ç ə n
absaufen	ˈa p ˌs a ʊ̯ f ə n
absaugen	ˈa p ˌs a ʊ̯ ɡ ə n
abschaffen	ˈa p ˌʃ a f ə n
Abschaffung	ˈa p ˌʃ a f ʊ ŋ
abschälen	ˈa p ʃ ɛː l ə n
Abschälen	ˈa p ˌʃ ɛː l ə n
abschalten	ˈʔ a p ʃ a l t n̩
abschalten	ˈʔ a p ʃ a l t ə n
abschätzen	ˈa p ˌʃ ɛ t͡s n̩
abschätzig	ˈa p ˌʃ ɛ t͡s ɪ ç
abschätzig	ˈa p ˌʃ ɛ t͡s ɪ k
Abschaum	ˈa p ʃ a ʊ̯ m
Abscheu	ˈʔ a p ʃ ɔ ʏ̯
abscheulicher	ʔ a p ˈʃ ɔ ɪ̯ l ɪ ç ɐ
Abscheulichkeit	ʔ a p ˈʃ ɔ ɪ̯ l ɪ ç k a ɪ̯ t
abscheulichsten	a p ˈʃ ɔ ɪ̯ l ɪ ç s t ə n
abschieben	ˈʔ a p ˌʃ iː b ə n
abschieben	ˈʔ a p ˌʃ iː b m̩
Abschied	ˈa p ˌʃ iː t
Abschiedsfeier	ˈa p ʃ iː t͡s ˌf a ɪ̯ ɐ
Abschiedskuss	ˈa p ʃ iː t͡s ˌk ʊ s
abschiessen	ˈa p ˌʃ iː s ə n
abschießend	ˈa p ˌʃ iː s ə n t
abschirmen	ˈa p ˌʃ ɪ ʁ m ə n
Abschirmung	ˈa p ˌʃ ɪ ʁ m ʊ ŋ
abschlachten	ˈa p ˌʃ l a χ t ə n
Abschlachten	ˈa p ˌʃ l a x t n̩
Abschlag	ˈa p ˌʃ l aː k
abschlagen	ˈa p ʃ l aː ɡ ŋ
abschleppen	ˈa p ˌʃ l ɛ p ə n
Abschleppwagen	ˈa p ʃ l ɛ p ˌv aː ɡ ə n
abschließen	ˈʔ a p ʃ l iː s n̩
abschließen	ˈʔ a p ʃ l iː s ə n
Abschließen	ˈʔ a p ʃ l iː s n̩
Abschließen	ˈʔ a p ʃ l iː s ə n
Abschluss	ˈa p ˌʃ l ʊ s
Abschlussfeier	ˈa p ʃ l ʊ s ˌf a ɪ̯ ɐ
Abschmelzung	ˈa p . ʃ m ɛ l . t s ʊ ŋ
abschnallen	ˈa p ˌʃ n a l ə n
abschneiden	ˈʔ a p ʃ n a ɪ̯ d n̩
abschneiden	ˈʔ a p ʃ n a ɪ̯ d ə n
Abschneider	ˈa p ʃ n a ɪ̯ d ɐ
Abschneiders	ˈa p ʃ n a ɪ̯ d ɐ s
Abschneidung	ˈa p ˌʃ n a ɪ̯ d ʊ ŋ
Abschnitt	ˈa p ˌʃ n ɪ t
Abschnittsende	ˈa p ʃ n ɪ t s ˌɛ n d ə
abschnittweise	ˈa p ʃ n ɪ t ˌv a ɪ̯ z ə
Abschottung	ˈa p ˌʃ ɔ t ʊ ŋ
abschrecken	ˈa p ˌʃ ʁ ɛ k ə n
abschreckend	ˈa p ˌʃ ʁ ɛ k n̩ t
Abschreckung	ˈa p ˌʃ ʁ ɛ k ʊ ŋ
abschreiben	ˈʔ a p ʃ ʁ a ɪ̯ b m̩
abschreiben	ˈʔ a p ʃ ʁ a ɪ̯ b ə n
Abschreibung	ˈa p ˌʃ ʁ a ɪ̯ b ʊ ŋ
abschreiten	ˈa p ˌʃ r a ɪ̯ t ə n
Abschrift	ˈa p ˌʃ ʁ ɪ f t
Abschub	ˈa p ʃ uː p
Abschuss	ˈa p ˌʃ ʊ s
abschüssig	ˈa p ˌʃ ʏ s ɪ ç
abschüssig	ˈa p ˌʃ ʏ s ɪ k
abschwächen	ˈa p ˌʃ v ɛ ç n̩
