ং	ŋ
অকারত	ɔ . k a . r o t̪
অকারাদি	ɔ . k a . r a . d̪ i
অকারান্ত	ɔ . k a . r a n . t̪ o
অকার্য	ɔ . k a r ɟ . ɟ o
অকার্যকর	ɔ . k a r . ɟ o . k ɔ r
অকার্যকরী	ɔ . k a r . ɟ o . k o . r i
অকার্যকারিতা	ɔ . k a r ɟ . ɟ o . k a . r i . t̪ a
অকাল	ɔ . k a l
অকালকুষ্মাণ্ড	ɔ . k a l . k u ʃ . ʃ ã n . ɖ o
অকালকুষ্মাণ্ড	ɔ . k a l . k u ʃ . m a n . ɖ o
অকালজ	ɔ . k a . l o . ɟ o
অকালজ	ɔ . k a . l ɔ ɟ
অকালজাত	ɔ . k a l . ɟ a . t̪ o
অকালপক্ব	ɔ . k a l . p ɔ k . k o
অকালপক্বতা	ɔ . k a l . p ɔ k . k ɔ . t̪ a
অকালবর্ষণ	ɔ . k a l . b ɔ r . ʃ ɔ n
অকালবার্ধক্য	ɔ . k a l . b a r . d̪ʰ o k . k o
অকালবৃদ্ধ	ɔ . k a l . b r i d̪ . d̪ʰ o
অকালবোধন	ɔ . k a l . b o . d̪ʰ o n
অকালমৃত্যু	ɔ . k a l . m r i t̪ . t̪ u
অকালসন্ধ্যা	ɔ . k a l . ʃ o n . d̪ʱ a
অকালী	ɔ . k a l i
অকালে	ɔ . k a . l e
অকাল্পনিক	ɔ . k a l . p o . n i k
অকিঞ্চন	ɔ . k i n . c ɔ n
অকিঞ্চনতা	ɔ . k i n . c ɔ . n ɔ . t̪ a
অকিঞ্চনত্ব	ɔ . k i n . c ɔ . n ɔ t̪ . t̪ o
অকিঞ্চিৎ	ɔ . k i n . c i t̪
অকিঞ্চিৎকর	ɔ . k i n . c i t̪ . k ɔ r
অকিঞ্চিৎকরতা	ɔ . k i n . c i t̪ . k ɔ . r ɔ . t̪ a
অকীর্ত	ɔ . k i r . t̪ ɔ
অকীর্তি	ɔ . k i r . t̪ i
অকীর্তিকর	ɔ . k i r t̪ . t̪ i . k ɔ r
অকীর্তিত	ɔ . k i r . t̪ i . t̪ o
অকু	o . k u
অকুআত	o . k u͡a̯ t̪
অকুটিলতা	ɔ . k u . ʈ i . l ɔ . t̪ a
অকুটিলা	ɔ . k u . ʈ i . l a
অকুণ্ঠ	ɔ . k u n . ʈ h o
অকুণ্ঠচিত্ত	ɔ . k u n . ʈ h o . c i t̪ . t̪ o
অকুণ্ঠচিত্তে	ɔ . k u n . ʈ h o . c i t̪ . t̪ e
অকুণ্ঠিত	ɔ . k u n . ʈ h i . t̪ o
অকুণ্ঠিতচিত্ত	ɔ . k u n . ʈ h i . t̪ o . c i t̪ . t̪ o
অকুণ্ঠিতচিত্তে	ɔ . k u n . ʈ h i . t̪ o . c i t̪ . t̪ e
অকুণ্ঠিতা	ɔ . k u n . ʈ h i . t̪ a
অকুতোভয়	ɔ . k u . t̪ o . bʱ ɔʲ
অকুতোভয়তা	ɔ . k u . t̪ o . bʱ ɔ .ʲ ɔ . t̪ a
অকুতোভয়া	ɔ . k u . t̪ o . bʱ ɔ .ʲ a
অকুফ	o . k u pʱ
অকুল	ɔ . k u l
অকুলন	ɔ . k u . l ɔ n
অকুলান	ɔ . k u . l a n
অকুলীন	ɔ . k u . l i n
অকুস্থল	o . k u s . t̪ʰ ɔ l
অকুস্থলে	o . k u s . t̪ʰ ɔ . l e
অকুস্থান	o . k u s . t̪ʰ a n
অকূল	ɔ . k u l
অকৃত	ɔ . k r i . t̪ o
অকৃতকর্ম	ɔ . k r i . t̪ o . k ɔ r . m ɔ
অকৃতকর্মা	ɔ . k r i . t̪ o . k ɔ r . m a
অকৃতকার্য	ɔ . k r i . t̪ o . k a r . ɟ ɔ
অকৃতকার্যতা	ɔ . k r i . t̪ o . k a r . ɟ o . t̪ a
অকৃতঘ্ন	ɔ . k r i . t̪ ɔ ɡʰ . n o
অকৃতঘ্নতা	ɔ . k r i . t̪ ɔ ɡʰ . n o . t̪ a
অকৃতজ্ঞ	ɔ . k r i . t̪ ɔ ɡ . ɡ õ
অকৃতজ্ঞতা	ɔ . k r i . t̪ ɔ ɡ . ɡ õ . t̪ a
অকৃতদার	ɔ . k r i . t̪ o . d̪ a r
অকৃতধী	ɔ . k r i . t̪ o . d̪ʰ i
অকৃতনামা	ɔ . k r i . t̪ o . n a . m a
অকৃতনামী	ɔ . k r i . t̪ o . n a . m i
অকৃতনাম্নী	ɔ . k r i . t̪ o . n a m . n i
অকৃতবিদ্য	ɔ . k r i . t̪ o . b i d̪ . d̪ o
অকৃতাত্মা	ɔ . k r i . t̪ a t̪ . t̪ ã
অকৃতাদর	ɔ . k r i . t̪ a . d̪ ɔ r
অকৃতাপরাধ	ɔ . k r i . t̪ a . p o . r a d̪ʱ
অকৃতার্থ	ɔ . k r i . t̪ a r . t̪ʰ o
অকৃতিত্ব	ɔ . k r i . t̪ i t̪ . t̪ o
অকৃতী	ɔ . k r i . t̪ i
অকৃতোদ্বাহ	ɔ . k r i . t̪ o d̪ . b a . ɦ o
অকৃতোদ্বাহা	ɔ . k r i . t̪ o d̪ . b a . ɦ a
অকৃত্য	ɔ . k r i t̪ . t̪ o
অকৃত্যকারী	ɔ . k r i t̪ . t̪ o . k a . r i
অকৃত্রিম	ɔ . k r i t̪ . t̪ r i m
অকৃত্রিমতা	ɔ . k r i t̪ . t̪ r i . m ɔ . t̪ a
অকৃপ	ɔ . k r i . p o
অকৃপণ	ɔ . k r i . p ɔ n
অকৃপণতা	ɔ . k r i . p ɔ . n ɔ . t̪ a
অকৃপা	ɔ . k r i . p a
অকৃষ্ট	ɔ . k r i ʃ . ʈ o
অকৃষ্টপচ্য	ɔ . k r i ʃ . ʈ o . p o c . c o
অকৃষ্ণ	ɔ . k r i ʃ . n o
অকৃষ্ণকর্মা	ɔ . k r i ʃ . n o . k ɔ r . m a
অকেজো	ɔ . k e . ɟ o
অকেলাস	ɔ . k e . l a ʃ
অকেলাস	ɔ . k e . l a s
অকেশ	ɔ . k e ʃ
অকেশা	ɔ . k e . ʃ a
অকেশিনী	ɔ . k e . ʃ i . n i
অকেশী	ɔ . k e . ʃ i
অকৈতব	ɔ . k o i . t̪ ɔ b
অকোপ	ɔ . k o p
অকোপিত	ɔ . k o . p i . t̪ o
অকোপী	ɔ . k o . p i
অকোবিদ	ɔ . k o . b i d̪
অকৌশল	ɔ . k o u . ʃ ɔ l
অক্কা	ɔ k . k a
অক্কাপ্রাপ্তি	ɔ k . k a . p r a p . t̪ i
অক্টোপাস	ɔ k . ʈ o . p a s
অক্টোপাস	ɔ k . ʈ o . p a ʃ
অক্রম	ɔ k . k r ɔ m
অক্রমিক	ɔ k . k r ɔ . m i k
অক্রিয়	ɔ k . k r i .ʲ o
অক্রিয়কর্মা	ɔ k . k r iʲ o . k ɔ r . m a
অক্রিয়তা	ɔ k . k r iʲ o . t̪ a
অক্রিয়ত্ব	ɔ k . k r iʲ ɔ t̪ . t̪ o
অক্রিয়া	ɔ k . k r iʲ a
অক্রিয়াচরণ	ɔ k . k r iʲ a . c ɔ . r o n
অক্রিয়ানিষ্ঠ	ɔ k . k r iʲ a . n i ʃ . ʈʰ o
অক্রিয়ান্বিত	ɔ k . k r iʲ a n . n i . t̪ o
অক্রিয়ারত	ɔ k . k r iʲ a . r ɔ . t̪ o
অক্রিয়াসক্ত	ɔ k . k r iʲ a . ʃ ɔ k . t̪ o
অক্রীত	ɔ k . k r i . t̪ o
অক্রুদ্ধ	ɔ k . k r u d̪ . d̪ʰ o
অক্রূর	ɔ k . k r u r
অক্রূর	ɔ k . k r u . r o
অক্রেয়	ɔ k . k r eʲ o
অক্রেয়তা	ɔ k . k r eʲ o . t̪ a
অক্রোধ	ɔ k . k r o d̪ʰ
অক্রোধিত	ɔ k . k r o . d̪ʰ i . t̪ o
অক্রোধী	ɔ k . k r o . d̪ʰ i
অক্লম	ɔ k . k l o m
অক্লান্ত	ɔ k . k l a n . t̪ o
অক্লান্তকর্মা	ɔ k . k l a n . t̪ o . k ɔ r . m a
অক্লিষ্ট	ɔ . k l i ʃ . ʈ o
অক্লিষ্টকর্মা	ɔ . k l i ʃ . ʈ o . k ɔ r . m a
অক্লিষ্টশোভা	ɔ . k l i ʃ . ʈ o . ʃ o . bʱ a
অক্লিষ্টস্নেহ	ɔ . k l i ʃ . ʈ o . s n e . h o
অক্লীব	ɔ k . k l i b
অক্লীব	ɔ k . k l i . b o
অক্লেশ	ɔ k . k l e ʃ
অক্লেশে	ɔ k . k l e . ʃ e
অক্ষ	ɔ k . kʰ o
অক্ষক্রীড়া	ɔ k . kʰ o . k r i . ɽ a
অক্ষটি	ɔ k . kʰ o . ʈ i
অক্ষত	ɔ k . kʰ ɔ . t̪ o
অক্ষতদেহ	ɔ k . kʰ ɔ . t̪ o . d̪ e . h o
অক্ষতদেহে	ɔ k . kʰ ɔ . t̪ o . d̪ e . h e
অক্ষতযোনি	ɔ k . kʰ ɔ . t̪ o . ɟ o . n i
অক্ষতশরীর	ɔ k . kʰ ɔ . t̪ o . ʃ o . r i r
অক্ষতশরীরে	ɔ k . kʰ ɔ . t̪ o . ʃ o . r i . r e
অক্ষপাদ	ɔ k . kʰ o . p a d̪
অক্ষবাট	ɔ k . kʰ o . b a ʈ
অক্ষবিদ	ɔ k . kʰ o . b i d̪
অক্ষবিৎ	ɔ k . kʰ o . b i t̪
অক্ষবৃত্ত	ɔ k . kʰ o . b r i t̪ . t̪ o
অক্ষবেত্তা	ɔ k . kʰ o . b e t̪ . t̪ a
অক্ষম	ɔ k . kʰ ɔ m
অক্ষম	ɔ k . kʰ o m
অক্ষমতা	ɔ k . kʰ o . m o . t̪ a
অক্ষমা	ɔ k . kʰ ɔ . m a
অক্ষমালা	ɔ k . kʰ o . m a . l a
অক্ষয়	ɔ k . kʰ ɔʲ
অক্ষয়কীর্তি	ɔ k . kʰ ɔʲ . k i r . t̪ i
অক্ষয়বট	ɔ k . kʰ ɔʲ . b ɔ ʈ
অক্ষয়লোক	ɔ k . kʰ ɔʲ . l o k
অক্ষর	ɔ k . kʰ ɔ r
অক্ষর	ɔ k . kʰ o r
অক্ষর	o k . kʰ o r
অক্ষর	ɔ k . kʰ ɔ r
অক্ষরজীবক	ɔ k . kʰ ɔ r . ɟ i . b ɔ k
অক্ষরজীবিক	ɔ k . kʰ ɔ r . ɟ i . b i k
অক্ষরজীবী	ɔ k . kʰ ɔ r . ɟ i . b i
অক্ষরজ্ঞান	ɔ k . kʰ ɔ r . ɡ æ n
অক্ষরডম্বর	ɔ k . kʰ ɔ r . ɖ ɔ m . b ɔ r
অক্ষরপরিচয়	ɔ k . kʰ ɔ r . p o . r i . c ɔʲ
অক্ষরবিন্যাস	ɔ k . kʰ ɔ r . b i n . n a ʃ
অক্ষরবৃত্ত	ɔ k . kʰ ɔ r . b r i t̪ . t̪ ɔ
অক্ষরমালা	ɔ k . kʰ ɔ r . m a . l a
অক্ষরযোজক	ɔ k . kʰ ɔ r . ɟ o . ɟ ɔ k
অক্ষরান্তরীকরণ	ɔ k . kʰ ɔ . r a n . t̪ o . r i . k ɔ . r ɔ n
অক্ষরেখা	ɔ k . kʰ o . r e . kʰ a
অক্ষশক্তি	ɔ k . kʰ o . ʃ o k . t̪ i
অক্ষসূত্র	ɔ k . kʰ o . ʃ u t̪ . t̪ r o
অক্ষহার	ɔ k . kʰ o . h a r
অক্ষাংশ	ɔ k . kʰ a ŋ . ʃ o
অক্ষার	ɔ k . kʰ a r
অক্ষারলবণ	ɔ k . kʰ a r . l ɔ . b ɔ n
অক্ষি	o k . kʰ i
অক্ষিকাচ	o k . kʰ i . k a c
অক্ষিকোটর	o k . kʰ i . k o . ʈ ɔ r
অক্ষিগত	o k . kʰ i . ɡ ɔ . t̪ ɔ
অক্ষিগোলক	o k . kʰ i . ɡ o . l o k
অক্ষিণ্ণ	ɔ k . kʰ i n . n ɔ
অক্ষিপক্ষ্ম	o k . kʰ i . p ɔ k . k h ɔ
অক্ষিপট	o k . kʰ i . p ɔ ʈ
অক্ষিপটল	o k . kʰ i . p ɔ . ʈ o l
অক্ষিপুট	o k . kʰ i . p u ʈ
অক্ষিভিষক	o k . kʰ i . bʱ i . ʃ ɔ k
অক্ষিলোম	o k . kʰ i . l o m
অক্ষিশালাক্য	o k . kʰ i . ʃ a . l a k . k o
অক্ষীয়	o k . kʰ iʲ o
অক্ষুণ্ণ	ɔ k . kʰ u n . n ɔ
অক্ষুণ্ণচিত্ত	ɔ k . kʰ u n . n o . c i t̪ . t̪ o
অক্ষুণ্ণচিত্তে	ɔ k . kʰ u n . n o . c i t̪ . t̪ e
অক্ষুব্ধ	ɔ k . kʰ u b . d̪ʱ o
অক্ষুব্ধচিত্ত	ɔ k . kʰ u b . d̪ʱ o . c i t̪ . t̪ o
অক্ষুব্ধচিত্তে	ɔ k . kʰ u b . d̪ʱ o . c i t̪ . t̪ e
অক্ষুভিত	ɔ k . kʰ u . bʱ i . t̪ o
অক্ষুভিতচিত্ত	ɔ k . kʰ u . bʱ i . t̪ o . c i t̪ . t̪ o
অক্ষুভিতচিত্তে	ɔ k . kʰ u . bʱ i . t̪ o . c i t̪ . t̪ e
অক্ষেমা	ɔ k . kʰ e . m a
অক্ষোভ	ɔ k . kʰ o bʱ
অক্ষোভিত	ɔ k . kʰ o . bʱ i . t̪ o
অক্ষোভে	ɔ k . kʰ o . bʱ e
অক্ষোভ্য	ɔ k . kʰ o b . bʱ o
অক্ষৌহিণী	ɔ k . kʰ o u . h i . n i
অক্সাইড	ɔ k . s a i ɖ
অক্সিজেন	ɔ k . s i . ɟ e n
অক্সিডেশন	ɔ k . s i . ɖ e . ʃ ɔ n
অখণ্ড	ɔ . kʰ ɔ n . ɖ o
অখণ্ডতা	ɔ . kʰ ɔ n . ɖ o . t̪ a
অখণ্ডনীয়	ɔ . kʰ ɔ n . ɖ o . n iʲ o
অখণ্ডনীয়তা	ɔ . kʰ ɔ n . ɖ o . n iʲ ɔ . t̪ a
অখণ্ডিত	ɔ . kʰ o n . ɖ i . t̪ o
অখণ্ড্য	ɔ . kʰ ɔ n . ɖ o
অখন	ɔ . kʰ o n
অখর্ব	ɔ . kʰ ɔ r . b o
অখল	ɔ . kʰ ɔ l
অখাত	ɔ . kʰ a t̪
অঙ্গ	ˈɔ ŋ ɡ o
অঙ্গার	ˈɔ ŋ ɡ a r
অজগর	ɔ . d͡ʒ ɔ . ɡ ɔ ɾ
অঞ্চল	ɔ n t ʃ ɔ l
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ ɔ b ɑ
অনুবাদক	ɔ n u b a d̪ ɔ k
অনুভব	ɔ n u bʱ ɔ b
অনুভব	ɔ n u v ɔ b
অনেক	ɔ n e k
অন্ন	ɔ nː ɔ
অপারেশন	ɔ . p ɑ . ɾ e . ʃ ɔ n
অভদ্র	ɔ . bʱ ɔ d̪ . ɾ ɔ
অভদ্র	ɔ̜ bʱ ɔ̜ d̪ː ɾ o
অভদ্র	ɔ̜ bʱ ɔ̜ d̪ː ɾ o
অভিধান	ɔ bʱ i dʱ a n
অভিধান	ɔ b i d a n
অভিধান	ɔ v i dʱ a n
অভিধান	ɔ v i d a n
অভিযোগ	ɔ bʱ i d ʒ o ɡ
অভিযোগ	ɔ v i d ʒ o ɡ
অমার্জনীয়	ɔ . m ɑ ɾ . d͡ʒ ɔ . n i . ɔ
অরণ্য	ɔ ɾ o nː o
অরবিন্দ	ɔ . ɾ ɔ . b i n . d̪ ɔ
অর্থাৎ	ɔ ɾ . t̪ʰ ɑ t̪
অলইদ	ɒ . l ɔ i d̪
অশনি	ɔ ʃ o n i
অশোক	ɔ . ʃ o k
অশোত	ɔ ʃ o t
অশ্বত্থ	ɔ ʃ w ɔ tːʰ ɔ
অশ্বত্থ	ɔ ʃː ɔ tʰː ɔ
অসভ্য	ɔ . ʃ ɔ b . bʱ ɔ
অসভ্য	ɔ̜ s̠ o bːʱ o
অসভ্য	ɔ̜ s̠ o bːʱ o
অসুস্থ	ɔ ʃ u s tʰ ɔ
অসুস্থতা	ɔ ʃ u s tʰ ɔ t a
অস্ত্রচিকিৎসা	ɔ ʃ . t̪ ɾ ɔ . t͡ʃ i . k i t̪ . ʃ ɑ
অস্ত্রচিকিৎসা	ɔ̜ s̠ t̪ ɾ o t͡ʃ i k i t̪ s̠ ä
অস্ত্রচিকিৎসা	ɔ̜ s̠ t̪ ɾ o t͡ʃ i k i t̪ s̠ ä
অস্ত্রোপচার	ɔ ʃ . t̪ ɾ o . p ɔ . t͡ʃ ɑ ɾ
অস্ত্রোপচার	ɔ̜ s̠ t̪ ɾ o p ɔ̜ t͡ʃ ä ɾ
অস্ত্রোপচার	ɔ̜ s̠ t̪ ɾ o p ɔ̜ t͡ʃ ä ɾ
অহরহ	ɔ . ɦ ɔ . ɾ ɔ . ɦ ɔ
অ্যানথ্রাক্স	æ n t̪ʰ ɾ ɑ k s
আ	a
আঁই	ã i
আঁডু	a . d̺ u
আঁডু	ã . d̺ u
আঁরে	ã . ɾ e
আঁস	a ʃ
আংশিক	a ŋ ʃ i k
আইচ্ছা	a i t͡ɕ . t͡ɕ a
আইজ	a i z
আইজকাইল	a i z . k a i l
আইজকো	a i z . k ɔ
আইজ্যা	a i d͡ʑ . d͡ʑ a
আইন	a i n
আকাট	a . k a ʈ
আকাঠ	a . k a ʈʰ
আকাঠা	a . k a . ʈʰ a
আকাম	a . k a m
আকালী	a . k a . l i
আকাশ	a k a ʃ
আখ	a kʰ
আখাত	a . kʰ a t̪
আগামী	ɑ . ɡ ɑ . m i
আগুন	a ɡ u n
আগ্রাবাদ	a ɡ ɾ a b a d
আচরণ	ˈa t ʃ o ˌɾ ɔ n
আচরণ	ˈa t ʃ o ˌɽ ɔ n
আছে	a t ʃʰ e
আছে	a s e
আজ	a d ʒ
আজব	a d ʒ o b
আজান	a . d ʒ a n
আজান	a . z a n
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আডা	a . d̺ a
আঢ়	a ɾ
আণ	ɑ . n ɔ
আণ্ডা	a ɳ ɖ a
আতকা	a t̪ . k a
আতশ	a t̪ o ʃ
আতশবাজি	a t̪ o ʃ b a z i
আতশবাজি	a t̪ o ʃ b a d ʒ i
আদমশুমার	ˈɑ . d̪ ɔ m ˌʃ u . m ɑ ɾ
আদা	ɑ d̪ ɑ
আদালত	a d̪ a l ɔ t̪
আদেশ	ɑ d̪ e ʃ
আন্তর্জাল	ɑ n . t̪ ɔ ɾ . d͡ʒ ɑ l
আন্দাজ	a n d̪ a z
আন্ধাইর	a n . d̪ʱ a i ɾ
আপনে	a p . n e
আপনে	a ɸ . n e
আপনে	a p . n e
আফসোস	a f s o s
আফসোস	a pʰ ʃ o ʃ
আবহাওয়া	a b o h a w a
আবির	ˈä . b i ɾ
আবুধ	a . b u d̪ʱ
আব্বা	a b b a
আব্বু	a b b u
আম	ɑ m
আমড়া	a m ɽ a
আমরার	a m . ɾ a ɾ
আমলকী	a m l o k i
আমাগর	a . m a . ɡ ɔ ɾ
আমাদের	ɑ ˈm ɑ d e r
আমার	ˈɑː ˌm ɑ ɹ
আম্মে	a m . m e
আর	a r
আর	a ɹ
আরণ্যক	a ɾ o nː o k
আর্তব	ɑ ɾ . t̪ ɔ b
আলাপ	a l a p
আলো	a l o
আশমান	ɑ ʃ . m ɑ n
আশুতোষ	a ʃ u t o ʃ
আশোত	a ʃ o t
আষ্ট	a ʃ . t̺ ɔ
আসিফ	a s i f
ই	i
ইংরেজি	i ŋ ɾ e d ʒ i
ইংরেজি	i ŋ ɽ e z i
ইংরেজি	i ŋ ɽ e d z i
ইউক্রেন	i u . k ɾ e n
ইখান	i . kʰ a n
ইখান	i . ɦ a n
ইগা	i . ɡ a
ইজ্জত	i z z o t̪
ইজ্জত	i d ʒ d ʒ o t̪
ইটানো	i ʈ a n o
ইডা	i . d̺ a
ইতিহাস	i . t̪ i . ɦ ɑ ʃ
ইন	i n
ইনকিলাব	i n . k i . l ɑ b
ইনকিলাবি	i n . k i . l ɑ . b i
ইনশাআল্লাহ্	i n ʃ a . a l l aʱ
ইন্দু	i n . d̪ u
ইয়ান	i a n
ইলিশ	i l i ʃ
ঈ	i
ঈগল	i ɡ ɔ l
উ	u
উইল	u i̯ l
উক্কা	u k . k a
উঙ্ঘানো	u ŋ . ɡʱ a . n ɔ
উট	u ʈ
উদিন	u . d̪ i n
উদ্বোধন	u d̪ . b o . d̪ʱ ɔ n
উন্দূর	u n d̪ u ɾ
উপজেলা	u p o z e l a
উপজেলা	u p o d ʒ e l a
উপত্যকা	u p ɔ t̪ː ɔ k a
উপন্যাস	u . p ɔ n . n ɑ ʃ
উপভাষা	u . p ɔ . bʱ ɑ . ʃ ɑ
উপাচার্য	u . p ɑ . t͡ʃ ɑ ɾ . d͡ʒ ɔ
উপাচার্য	u p ä t͡ʃ ä ɾ d͡ʒ o
উপাচার্য	u p ä t͡ʃ ä ɾ d͡ʒ o
উয়াস	u a ʃ
উলঙ্গ	u . l ɔ ŋ . ɡ ɔ
উল্কা	u l k ɐ
উল্কি	ˈu l k i
উষ্ণ	ˈu ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋ	r iː
ঋতু	ɾ i t̪ u
এ	e
এ	æ
একজিবিশন	e k . d͡ʒ i . b i . ʃ ɔ n
একতা	æ . k ɔ . t̪ ɑ
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এবও	ɛ . b ɔ
এবে	e . b e
এভাবে	e bʱ a b e
এভাবে	e v a b e
এলাকা	e l a k a
ঐ	o iː
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	ˈo ʈʰ a
ওদের	ˈɔː . ð ɛ ɹ
ওয়াক্ত	oʷ a k t̪
ওয়াক্ত	oʷ a k . t̪ o
ওয়াদা	w a d a
ওস্তাদ	o s t̪ a d̪
ঔ	o u
ক	k ɔ
কখন	k ɒ . kʰ ɒ n
কখনও	k ɔ kʰ ɔ n o
কঠিন	k ɔ ʈʰ i n
কত	ˈk ɔ t̪ o
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ . d̪ ɑ . t͡ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	ˈk ɔ n ɖ ɔ m
কফ	k ɔ pʰ
কবি	k ɔ . b i
কবুতর	k o b u t̪ ɔ r
কবে	k oː . b ɛ
কয়	k ɔ e̯
কয়ফল	k ɒ e̯ . ɸ ɒ l
কয়লাখনি	k ɔ e̯ . l ɑ . kʰ ɔ . n i
কয়েদ	k ɔ e̯ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
করলা	k ɔ ɾ o l a
করা	k ɔ ɾ a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
কলকাতা	ˈk o l ˌk a t̪ a
কলম	k ɔ l o m
কল্লা	k ɔ l . l a
কল্লা	k ɒ l . l a
কাঁঠাল	k a ʈʰ a l
কাঁসা	k ã s a
কাইল	k a i l
কাক	k a k
কাগজ	k a ɡ o d ʒ
কাগজ	k a ɡ o z
কাটা	k ɑ ʈ ɑ
কাটুয়া	k a . t̺ u a
কাঠিপোকা	k ɑ . ʈ̟ʰ i . p o . k ɑ
কাডোল	k a . d̺ ɔ l
কাণ্টা	k a n . t̺ a
কাণ্টামি	k a n . t̺ a . m i
কান	k ɑ n
কানুনগো	k ɑ . n u n . ɡ o
কান্দইন্যা	k a n . d̪ ɔ i n . n a
কান্দাইন্যা	k a n . d̪ a i n . n a
কাপড়	ˈk a p ɔ ɽ
কাপড়	ˈk a p ɔ ɹ
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামুক	ˈk a m u k
কারখানা	k a r kʰ a n a
কারিগর	k a r i ɡ ɔ r
কারিগরি	k a r i ɡ o r i
কালা	k a . l a
কালো	k a l o
কাল্পনিক	k a l p o n i k
কাহই	k a . h ɔ i
কিংবা	k i ŋ b ɑ
কিচ্ছা	k i t ʃ t ʃʰ a
কিছু	k i t ʃʰ u
কিছু	k i s u
কিছুক্ষণ	k i t ʃʰ u kːʰ ɔ n
কিছুক্ষণ	k i s u kːʰ ɔ n
কিতা	k i . t̪ a
কিতাব	k i t a b
কিনইন্যা	k i . n ɔ i n . n a
কিনার	k i n a r
কিন্তু	k i n t̪ u
কিভাবে	k i bʱ a b e
কিভাবে	k i v a b e
কিশমিশ	k i ʃ m i ʃ
কীভাবে	k i bʱ a b e
কীভাবে	k i b a b e
কুকুর	k u k u ɾ
কুকুরছানা	k u k u ɾ t ʃʰ a n a
কুকুরছানা	k u k u ɽ t ʃʰ a n a
কুকুরছানা	k u k u ɽ s a n a
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুত্তা	k u t̪ː a
কুম	k u m
কুয়াশা	k u a . ʃ a
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ i
কৃষ্ণচূড়া	k ɾ i ʃ n ɔ c u ɽ a
কৃষ্ণচূড়া	k ɾ i ʃ ʈ ɔ̃ c u ɽ a
